https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BNB,Volume USDT,tradecount
1610582400000,2021-01-14 00:00:00,BNB/USDT,40.11140000,42.00000000,39.57390000,41.87230000,3306689.93300000,135085613.30355000,306640
1610496000000,2021-01-13 00:00:00,BNB/USDT,38.27030000,40.44990000,37.02000000,40.11140000,3512089.38500000,135791180.05745700,366040
1610409600000,2021-01-12 00:00:00,BNB/USDT,38.16230000,40.19890000,37.00000000,38.25410000,3261261.81000000,125897888.04795700,342953
1610323200000,2021-01-11 00:00:00,BNB/USDT,42.40330000,42.50940000,35.03740000,38.16740000,6332801.05500000,243017347.96947130,664128
1610236800000,2021-01-10 00:00:00,BNB/USDT,43.84790000,45.16200000,40.00000000,42.40310000,4277406.29000000,185165251.13206460,431771
1610150400000,2021-01-09 00:00:00,BNB/USDT,42.34500000,44.05520000,41.50000000,43.84790000,2720363.63600000,116290473.53861750,294683
1610064000000,2021-01-08 00:00:00,BNB/USDT,43.57280000,43.72200000,40.23130000,42.35600000,3548923.78800000,149951576.85134530,411558
1609977600000,2021-01-07 00:00:00,BNB/USDT,42.24400000,44.90000000,41.36600000,43.57280000,5026746.66900000,216717611.76971210,523288
1609891200000,2021-01-06 00:00:00,BNB/USDT,41.82710000,42.26700000,40.45310000,42.24170000,3784444.68700000,156404649.31636990,417519
1609804800000,2021-01-05 00:00:00,BNB/USDT,41.13000000,41.83750000,38.80140000,41.82190000,3513141.34600000,141831731.95876310,410985
1609718400000,2021-01-04 00:00:00,BNB/USDT,41.25600000,43.20390000,38.02000000,41.13330000,5306248.16600000,214835112.08725190,546562
1609632000000,2021-01-03 00:00:00,BNB/USDT,38.23310000,41.70170000,37.76300000,41.25750000,4903626.69700000,195224916.82053100,499815
1609545600000,2021-01-02 00:00:00,BNB/USDT,37.76370000,38.87980000,36.80000000,38.23310000,3018062.20600000,114060050.84962810,342120
1609459200000,2021-01-01 00:00:00,BNB/USDT,37.35960000,38.95900000,36.95550000,37.77620000,2435989.12700000,92358608.11308390,287020
1609372800000,2020-12-31 00:00:00,BNB/USDT,38.15580000,38.21330000,36.51570000,37.35880000,1887715.83500000,70486125.96259690,215191
1609286400000,2020-12-30 00:00:00,BNB/USDT,39.07460000,39.27000000,36.81310000,38.15580000,2424623.46700000,91497596.04164030,318773
1609200000000,2020-12-29 00:00:00,BNB/USDT,35.95070000,39.99990000,35.30150000,39.06670000,7022548.48700000,266651443.80075310,626216
1609113600000,2020-12-28 00:00:00,BNB/USDT,33.67410000,36.15000000,33.31050000,35.95100000,4121783.10300000,145163638.03392370,365388
1609027200000,2020-12-27 00:00:00,BNB/USDT,33.65100000,34.99000000,31.86010000,33.67400000,3747872.71800000,126569474.22639280,383603
1608940800000,2020-12-26 00:00:00,BNB/USDT,33.19960000,34.04950000,32.51000000,33.63610000,2418941.54400000,80768632.43812370,280678
1608854400000,2020-12-25 00:00:00,BNB/USDT,32.49470000,33.49540000,31.73130000,33.19960000,2596272.90500000,84844896.31758450,237471
1608768000000,2020-12-24 00:00:00,BNB/USDT,31.16980000,32.75890000,30.00000000,32.48950000,2999570.85300000,94739220.62728900,317894
1608681600000,2020-12-23 00:00:00,BNB/USDT,33.51120000,34.50500000,30.00000000,31.18430000,3940926.44200000,128877133.69173570,431164
1608595200000,2020-12-22 00:00:00,BNB/USDT,32.05000000,33.80000000,30.47190000,33.51510000,3563635.67300000,115167307.80793820,359713
1608508800000,2020-12-21 00:00:00,BNB/USDT,34.30720000,35.60000000,31.48710000,32.05000000,4558115.88000000,152823799.83116650,387995
1608422400000,2020-12-20 00:00:00,BNB/USDT,33.30180000,35.69000000,32.58990000,34.31480000,4477498.81800000,153515421.81364170,346574
1608336000000,2020-12-19 00:00:00,BNB/USDT,30.98580000,34.23070000,30.88120000,33.31670000,4117460.29300000,134985674.64890100,356909
1608249600000,2020-12-18 00:00:00,BNB/USDT,30.22540000,31.21720000,29.61000000,30.98820000,2045326.34300000,62443342.41426750,200766
1608163200000,2020-12-17 00:00:00,BNB/USDT,30.55240000,31.54890000,29.68910000,30.22550000,3274786.13100000,100846680.86741890,320109
