https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EOS,Volume USDT,tradecount
1607817600000,2020-12-13 00:00:00,EOS/USDT,2.76680000,2.89990000,2.75190000,2.85070000,10072162.97000000,28536858.11798400,63050
1607731200000,2020-12-12 00:00:00,EOS/USDT,2.69450000,2.78620000,2.67820000,2.76720000,6975725.45000000,19193640.02952400,45248
1607644800000,2020-12-11 00:00:00,EOS/USDT,2.74100000,2.74940000,2.64760000,2.69380000,10162517.13000000,27391266.09867300,55619
1607558400000,2020-12-10 00:00:00,EOS/USDT,2.80830000,2.81470000,2.69990000,2.74010000,6532215.72000000,18050837.05267900,46062
1607472000000,2020-12-09 00:00:00,EOS/USDT,2.80230000,2.83600000,2.66270000,2.80850000,11243665.28000000,31091243.40728000,73021
1607385600000,2020-12-08 00:00:00,EOS/USDT,2.94920000,2.96040000,2.74400000,2.80300000,9609375.93000000,27470754.03432000,69933
1607299200000,2020-12-07 00:00:00,EOS/USDT,2.99750000,3.00900000,2.90690000,2.94910000,7935160.02000000,23531814.26906300,45021
1607212800000,2020-12-06 00:00:00,EOS/USDT,3.00900000,3.03610000,2.90860000,2.99690000,6980771.83000000,20716642.23895300,54048
1607126400000,2020-12-05 00:00:00,EOS/USDT,2.84500000,3.01260000,2.82010000,3.00790000,8528184.62000000,24927421.68410400,60757
1607040000000,2020-12-04 00:00:00,EOS/USDT,3.08040000,3.14820000,2.79770000,2.84560000,16212208.28000000,48792706.96438300,120731
1606953600000,2020-12-03 00:00:00,EOS/USDT,3.05630000,3.13460000,3.00930000,3.08030000,10269216.60000000,31558095.53522500,71412
1606867200000,2020-12-02 00:00:00,EOS/USDT,2.99420000,3.08630000,2.95900000,3.05650000,11397214.15000000,34550348.94235000,84706
1606780800000,2020-12-01 00:00:00,EOS/USDT,3.25990000,3.34000000,2.92060000,2.99420000,27621880.93000000,86798710.07879500,166636
1606694400000,2020-11-30 00:00:00,EOS/USDT,3.03210000,3.28200000,2.99520000,3.26150000,25341850.19000000,79778711.78987700,145465
1606608000000,2020-11-29 00:00:00,EOS/USDT,2.99760000,3.09860000,2.90350000,3.03110000,16498728.74000000,49293852.23585100,100520
1606521600000,2020-11-28 00:00:00,EOS/USDT,2.87340000,3.07310000,2.82020000,2.99820000,19030456.76000000,56188714.81664100,122431
1606435200000,2020-11-27 00:00:00,EOS/USDT,2.95240000,3.03000000,2.75320000,2.87340000,24009942.96000000,69209376.69150300,140990
1606348800000,2020-11-26 00:00:00,EOS/USDT,3.42480000,3.53200000,2.70530000,2.95220000,58593382.07000000,178602179.50947500,363282
1606262400000,2020-11-25 00:00:00,EOS/USDT,3.59900000,3.88020000,3.30370000,3.42470000,42122344.92000000,150682016.28182700,321261
1606176000000,2020-11-24 00:00:00,EOS/USDT,3.37800000,3.77610000,3.32850000,3.59870000,49169188.39000000,173849919.52077400,362440
1606089600000,2020-11-23 00:00:00,EOS/USDT,3.06370000,3.40000000,2.99470000,3.37890000,42578449.47000000,136617126.30840100,256581
1606003200000,2020-11-22 00:00:00,EOS/USDT,3.23190000,3.30510000,2.89610000,3.06330000,40566393.08000000,125284865.41704300,221113
1605916800000,2020-11-21 00:00:00,EOS/USDT,2.78020000,3.25860000,2.68810000,3.23060000,48331723.32000000,145432587.12840800,252497
1605830400000,2020-11-20 00:00:00,EOS/USDT,2.63580000,2.82860000,2.63330000,2.77980000,18542539.88000000,50768197.72522200,131565
1605744000000,2020-11-19 00:00:00,EOS/USDT,2.63820000,2.70000000,2.55940000,2.63630000,10989620.24000000,28907064.05761100,83357
1605657600000,2020-11-18 00:00:00,EOS/USDT,2.71570000,2.73230000,2.44760000,2.63710000,19787146.16000000,51684862.03681400,141352
1605571200000,2020-11-17 00:00:00,EOS/USDT,2.58260000,2.75590000,2.57520000,2.71620000,17182505.30000000,46074481.27540200,119283
1605484800000,2020-11-16 00:00:00,EOS/USDT,2.49610000,2.60560000,2.48560000,2.58300000,8258090.17000000,21079697.78332800,54041
1605398400000,2020-11-15 00:00:00,EOS/USDT,2.53590000,2.54760000,2.46910000,2.49610000,5833997.73000000,14669450.29586900,39077
1605312000000,2020-11-14 00:00:00,EOS/USDT,2.59850000,2.61080000,2.49610000,2.53590000,6908392.65000000,17582738.25607900,58119
1605225600000,2020-11-13 00:00:00,EOS/USDT,2.46240000,2.64000000,2.45530000,2.59820000,10104959.94000000,25714132.44037500,66530
1605139200000,2020-11-12 00:00:00,EOS/USDT,2.49810000,2.50410000,2.43200000,2.46320000,6988557.27000000,17291272.49787300,44552
1605052800000,2020-11-11 00:00:00,EOS/USDT,2.49800000,2.53920000,2.49190000,2.49820000,4874289.08000000,12247096.64387600,35552
1604966400000,2020-11-10 00:00:00,EOS/USDT,2.49750000,2.52820000,2.47600000,2.49800000,5413255.43000000,13542120.17388100,35742
1604880000000,2020-11-09 00:00:00,EOS/USDT,2.53560000,2.55880000,2.45720000,2.49750000,6274076.91000000,15757655.92440000,45615
1604793600000,2020-11-08 00:00:00,EOS/USDT,2.49710000,2.56300000,2.48270000,2.53610000,5149937.99000000,13000863.65444200,35145
1604707200000,2020-11-07 00:00:00,EOS/USDT,2.53480000,2.62620000,2.44630000,2.49710000,13337578.26000000,34025902.86591000,89444
1604620800000,2020-11-06 00:00:00,EOS/USDT,2.44670000,2.54500000,2.43780000,2.53490000,12903400.78000000,32205758.43953100,75068
1604534400000,2020-11-05 00:00:00,EOS/USDT,2.35060000,2.48910000,2.34950000,2.44640000,12180086.72000000,29335061.02599300,65422
1604448000000,2020-11-04 00:00:00,EOS/USDT,2.36520000,2.37520000,2.29000000,2.35060000,7808043.06000000,18270919.06236700,40730
1604361600000,2020-11-03 00:00:00,EOS/USDT,2.43320000,2.44320000,2.22590000,2.36550000,13815918.08000000,32170130.37772600,70189
1604275200000,2020-11-02 00:00:00,EOS/USDT,2.51860000,2.55030000,2.40910000,2.43300000,8610468.71000000,21265439.59606500,49223
1604188800000,2020-11-01 00:00:00,EOS/USDT,2.52790000,2.54060000,2.45480000,2.51850000,4276592.54000000,10705418.56394700,25672
1604102400000,2020-10-31 00:00:00,EOS/USDT,2.50710000,2.56650000,2.49390000,2.52800000,5946231.53000000,15047305.97869600,34345
1604016000000,2020-10-30 00:00:00,EOS/USDT,2.63860000,2.64690000,2.40350000,2.50680000,13459280.97000000,33998854.35881100,74059
1603929600000,2020-10-29 00:00:00,EOS/USDT,2.65200000,2.67980000,2.60110000,2.63870000,6578696.29000000,17416805.80702300,37791
1603843200000,2020-10-28 00:00:00,EOS/USDT,2.67350000,2.75410000,2.62100000,2.65240000,11763103.37000000,31421686.01834000,69116
