https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ADA,Volume USDT,tradecount
1603929600000,2020-10-29 00:00:00,ADA/USDT,0.09872000,0.10082000,0.09484000,0.09531000,257269193.80000000,25185522.59947900,53112
1603843200000,2020-10-28 00:00:00,ADA/USDT,0.10254000,0.10331000,0.09501000,0.09869000,282164120.80000000,27843309.87612500,61146
1603756800000,2020-10-27 00:00:00,ADA/USDT,0.10300000,0.10568000,0.10178000,0.10256000,184291093.80000000,19148597.63616600,44887
1603670400000,2020-10-26 00:00:00,ADA/USDT,0.10640000,0.10760000,0.09892000,0.10306000,225727480.60000000,23259876.57269600,47869
1603584000000,2020-10-25 00:00:00,ADA/USDT,0.10795000,0.10879000,0.10603000,0.10639000,112506426.20000000,12075949.77088100,27332
1603497600000,2020-10-24 00:00:00,ADA/USDT,0.10801000,0.10990000,0.10726000,0.10797000,148170659.60000000,16100844.55966800,33483
1603411200000,2020-10-23 00:00:00,ADA/USDT,0.11075000,0.11228000,0.10515000,0.10805000,229349167.10000000,25008437.75449500,55980
1603324800000,2020-10-22 00:00:00,ADA/USDT,0.10585000,0.11279000,0.10507000,0.11077000,253146949.90000000,27605881.27611500,63416
1603238400000,2020-10-21 00:00:00,ADA/USDT,0.10237000,0.10858000,0.10128000,0.10589000,266714219.20000000,28160946.82245400,67356
1603152000000,2020-10-20 00:00:00,ADA/USDT,0.10856000,0.10883000,0.10058000,0.10238000,336559707.30000000,34938984.29436200,78262
1603065600000,2020-10-19 00:00:00,ADA/USDT,0.10737000,0.11110000,0.10598000,0.10859000,229437127.00000000,24904909.30756500,54797
1602979200000,2020-10-18 00:00:00,ADA/USDT,0.10589000,0.10761000,0.10501000,0.10735000,110005980.30000000,11693037.94378900,28868
1602892800000,2020-10-17 00:00:00,ADA/USDT,0.10415000,0.10739000,0.10316000,0.10598000,159726089.30000000,16908353.57463100,36828
1602806400000,2020-10-16 00:00:00,ADA/USDT,0.10664000,0.10733000,0.10218000,0.10414000,224603403.30000000,23387780.13831400,57297
1602720000000,2020-10-15 00:00:00,ADA/USDT,0.10703000,0.10782000,0.10441000,0.10666000,221158995.50000000,23512858.84573000,52674
1602633600000,2020-10-14 00:00:00,ADA/USDT,0.10927000,0.11238000,0.10519000,0.10703000,336699622.60000000,36695051.67009400,76777
1602547200000,2020-10-13 00:00:00,ADA/USDT,0.10951000,0.11428000,0.10751000,0.10925000,399840888.70000000,44347906.27087900,95325
1602460800000,2020-10-12 00:00:00,ADA/USDT,0.10652000,0.11369000,0.10216000,0.10945000,436930732.00000000,47008535.80208500,116208
1602374400000,2020-10-11 00:00:00,ADA/USDT,0.10488000,0.10899000,0.10415000,0.10648000,313077154.20000000,33383274.17121700,71724
1602288000000,2020-10-10 00:00:00,ADA/USDT,0.10133000,0.11151000,0.10133000,0.10493000,507111063.70000000,54343711.96821300,113861
1602201600000,2020-10-09 00:00:00,ADA/USDT,0.09632000,0.10255000,0.09485000,0.10129000,310310117.30000000,30460846.22032700,68553
