https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount
1604275200000,2020-11-02 00:00:00,ETH/USDT,396.68000000,404.50000000,377.92000000,383.02000000,779968.57957000,304223545.89203440,290370
1604188800000,2020-11-01 00:00:00,ETH/USDT,386.44000000,398.29000000,384.61000000,396.67000000,438952.95565000,171238317.70032390,181369
1604102400000,2020-10-31 00:00:00,ETH/USDT,382.59000000,394.88000000,379.90000000,386.46000000,467453.81050000,181136851.45374130,218528
1604016000000,2020-10-30 00:00:00,ETH/USDT,387.12000000,391.97000000,373.29000000,382.49000000,771750.74746000,294342545.98087450,289735
1603929600000,2020-10-29 00:00:00,ETH/USDT,388.22000000,393.72000000,380.52000000,387.13000000,573096.01416000,222669504.87531700,248649
1603843200000,2020-10-28 00:00:00,ETH/USDT,403.41000000,409.20000000,380.52000000,388.23000000,855275.46882000,335751199.30374730,348661
1603756800000,2020-10-27 00:00:00,ETH/USDT,392.52000000,410.25000000,389.90000000,403.45000000,754244.37552000,302522886.82653000,286217
1603670400000,2020-10-26 00:00:00,ETH/USDT,405.85000000,411.11000000,382.30000000,392.52000000,895142.67266000,356208480.58571190,329493
1603584000000,2020-10-25 00:00:00,ETH/USDT,412.14000000,417.40000000,402.50000000,405.86000000,415586.97610000,170054743.31874520,177854
1603497600000,2020-10-24 00:00:00,ETH/USDT,409.19000000,416.66000000,407.00000000,412.14000000,419236.87106000,172799824.64868200,182680
1603411200000,2020-10-23 00:00:00,ETH/USDT,413.94000000,419.33000000,401.30000000,409.11000000,727832.32240000,299943190.93063720,293671
1603324800000,2020-10-22 00:00:00,ETH/USDT,390.31000000,420.73000000,390.21000000,413.98000000,1095897.20667000,447211002.50125880,412013
1603238400000,2020-10-21 00:00:00,ETH/USDT,368.53000000,401.49000000,367.74000000,390.38000000,1221663.63784000,472488832.71627450,450963
1603152000000,2020-10-20 00:00:00,ETH/USDT,379.30000000,380.73000000,365.27000000,368.52000000,617309.81677000,229928443.79691000,251051
1603065600000,2020-10-19 00:00:00,ETH/USDT,378.12000000,384.32000000,372.50000000,379.30000000,577252.90265000,218372639.95702320,224887
1602979200000,2020-10-18 00:00:00,ETH/USDT,368.31000000,378.64000000,367.10000000,378.11000000,323468.47095000,120818450.62118030,133043
1602892800000,2020-10-17 00:00:00,ETH/USDT,365.50000000,370.46000000,363.36000000,368.32000000,285578.24537000,104838880.45610340,126045
1602806400000,2020-10-16 00:00:00,ETH/USDT,377.63000000,379.83000000,361.18000000,365.50000000,654029.36404000,241127894.70245080,255775
1602720000000,2020-10-15 00:00:00,ETH/USDT,378.69000000,381.79000000,369.85000000,377.64000000,634038.09453000,238396852.78392820,228454
1602633600000,2020-10-14 00:00:00,ETH/USDT,381.05000000,387.41000000,373.13000000,378.69000000,569557.82936000,216288026.95920860,214375
1602547200000,2020-10-13 00:00:00,ETH/USDT,386.51000000,387.75000000,374.51000000,381.04000000,645141.91394000,246276552.00902270,239460
1602460800000,2020-10-12 00:00:00,ETH/USDT,374.17000000,394.80000000,365.58000000,386.51000000,844422.65444000,320587055.52979570,309500
1602374400000,2020-10-11 00:00:00,ETH/USDT,370.51000000,377.60000000,368.87000000,374.16000000,373318.23779000,139329772.54031670,164475
1602288000000,2020-10-10 00:00:00,ETH/USDT,365.01000000,378.40000000,364.71000000,370.52000000,591005.32129000,220607973.01227310,253825
1602201600000,2020-10-09 00:00:00,ETH/USDT,350.94000000,368.33000000,347.32000000,365.02000000,650478.19338000,232878561.88521360,241168
1602115200000,2020-10-08 00:00:00,ETH/USDT,341.58000000,353.32000000,334.21000000,350.95000000,631794.87560000,217322066.97802380,220053
1602028800000,2020-10-07 00:00:00,ETH/USDT,340.80000000,342.85000000,332.18000000,341.58000000,541928.86376000,183873686.39043150,195112
1601942400000,2020-10-06 00:00:00,ETH/USDT,353.63000000,355.10000000,336.80000000,340.75000000,640063.26951000,221765553.58680910,240812
1601856000000,2020-10-05 00:00:00,ETH/USDT,352.34000000,356.10000000,348.54000000,353.62000000,376740.30692000,132656713.04409390,145787
1601769600000,2020-10-04 00:00:00,ETH/USDT,345.94000000,354.45000000,343.81000000,352.37000000,343932.91712000,119961274.70065720,138736
