https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume QTUM,Volume USDT,tradecount
1607040000000,2020-12-04 00:00:00,QTUM/USDT,2.87700000,2.90200000,2.54300000,2.59100000,2800367.53300000,7633202.33272600,20428
1606953600000,2020-12-03 00:00:00,QTUM/USDT,2.78400000,2.98600000,2.78100000,2.87700000,2963576.15000000,8583240.05372900,27118
1606867200000,2020-12-02 00:00:00,QTUM/USDT,2.71800000,2.83900000,2.68000000,2.78700000,1550039.02300000,4264341.85769900,14313
1606780800000,2020-12-01 00:00:00,QTUM/USDT,2.92900000,3.02200000,2.67400000,2.71800000,3500254.73000000,9906039.64166300,31194
1606694400000,2020-11-30 00:00:00,QTUM/USDT,2.73400000,3.06600000,2.73300000,2.93200000,4109360.47600000,11833186.79614400,41704
1606608000000,2020-11-29 00:00:00,QTUM/USDT,2.68900000,2.84300000,2.59300000,2.73400000,2321047.22700000,6295708.08263600,23153
1606521600000,2020-11-28 00:00:00,QTUM/USDT,2.60500000,2.75600000,2.51900000,2.69000000,2843396.37400000,7493695.93476000,26630
1606435200000,2020-11-27 00:00:00,QTUM/USDT,2.52500000,2.62300000,2.38300000,2.60200000,3373006.23200000,8467026.61822200,32040
1606348800000,2020-11-26 00:00:00,QTUM/USDT,2.92200000,3.00900000,2.29500000,2.52200000,9506679.00200000,24383651.85951400,83596
1606262400000,2020-11-25 00:00:00,QTUM/USDT,3.08000000,3.28300000,2.80100000,2.92400000,7276205.34700000,22187574.03174200,69782
1606176000000,2020-11-24 00:00:00,QTUM/USDT,2.79400000,3.18500000,2.72300000,3.07900000,10256605.08600000,30502311.78306200,100644
1606089600000,2020-11-23 00:00:00,QTUM/USDT,2.55700000,2.80000000,2.49500000,2.79400000,5702794.00100000,15246777.01864200,50337
1606003200000,2020-11-22 00:00:00,QTUM/USDT,2.69600000,2.73900000,2.38400000,2.55700000,5587635.30700000,14229085.83721600,50439
1605916800000,2020-11-21 00:00:00,QTUM/USDT,2.36200000,2.71300000,2.35300000,2.69500000,6137450.27400000,15639323.86041800,54902
1605830400000,2020-11-20 00:00:00,QTUM/USDT,2.25200000,2.44100000,2.25000000,2.36200000,3750025.50700000,8816873.86050100,32424
1605744000000,2020-11-19 00:00:00,QTUM/USDT,2.15100000,2.31800000,2.08000000,2.25000000,3562257.40300000,7841402.83902800,27335
1605657600000,2020-11-18 00:00:00,QTUM/USDT,2.20600000,2.24100000,2.07200000,2.15000000,3527237.62500000,7610217.44974500,29803
1605571200000,2020-11-17 00:00:00,QTUM/USDT,2.07500000,2.21300000,2.07300000,2.20600000,3400450.96900000,7294171.50617800,27541
1605484800000,2020-11-16 00:00:00,QTUM/USDT,1.97700000,2.08900000,1.96500000,2.07300000,1650007.21000000,3362190.62806200,13652
1605398400000,2020-11-15 00:00:00,QTUM/USDT,2.04100000,2.07700000,1.93500000,1.97800000,1638845.77300000,3302884.82786900,12859
1605312000000,2020-11-14 00:00:00,QTUM/USDT,2.09400000,2.10700000,2.00900000,2.04000000,1544390.15600000,3168078.23809300,13839
1605225600000,2020-11-13 00:00:00,QTUM/USDT,2.03100000,2.09700000,1.99700000,2.09400000,1887037.22600000,3873356.46035100,14815
1605139200000,2020-11-12 00:00:00,QTUM/USDT,2.05300000,2.12900000,2.00800000,2.03000000,2780016.93100000,5747472.00936200,22815
1605052800000,2020-11-11 00:00:00,QTUM/USDT,2.00700000,2.14300000,2.00500000,2.05400000,2234912.11200000,4610827.06684500,18385
1604966400000,2020-11-10 00:00:00,QTUM/USDT,1.99000000,2.03300000,1.95000000,2.00600000,2272156.27700000,4532068.73454600,20730
1604880000000,2020-11-09 00:00:00,QTUM/USDT,2.02500000,2.04600000,1.93200000,1.98900000,1828107.08400000,3644298.18122000,17326
1604793600000,2020-11-08 00:00:00,QTUM/USDT,1.94800000,2.05200000,1.92800000,2.02700000,1816948.18400000,3643423.02009300,15409
1604707200000,2020-11-07 00:00:00,QTUM/USDT,2.07300000,2.18700000,1.92300000,1.94900000,4419204.40200000,9064151.07138500,36907
1604620800000,2020-11-06 00:00:00,QTUM/USDT,1.93000000,2.08300000,1.92400000,2.07100000,2681927.56300000,5395290.85079400,20653
1604534400000,2020-11-05 00:00:00,QTUM/USDT,1.83300000,1.94300000,1.81300000,1.93100000,2268720.19200000,4272391.89362900,16708
1604448000000,2020-11-04 00:00:00,QTUM/USDT,1.86900000,1.87100000,1.75000000,1.83300000,1683970.12200000,3059492.75326700,12644
1604361600000,2020-11-03 00:00:00,QTUM/USDT,1.92300000,1.92700000,1.80400000,1.86800000,1868673.23900000,3458104.05426800,13942
1604275200000,2020-11-02 00:00:00,QTUM/USDT,2.00900000,2.05600000,1.91600000,1.92400000,1770601.06800000,3515885.45785100,14085
1604188800000,2020-11-01 00:00:00,QTUM/USDT,1.96400000,2.01300000,1.94000000,2.00800000,959336.14100000,1893192.64312700,7243
1604102400000,2020-10-31 00:00:00,QTUM/USDT,1.94600000,1.99800000,1.93500000,1.96400000,1448273.80600000,2853287.08453800,10555
1604016000000,2020-10-30 00:00:00,QTUM/USDT,2.03300000,2.06100000,1.87700000,1.94600000,3065345.95600000,6013234.95548400,21578
1603929600000,2020-10-29 00:00:00,QTUM/USDT,2.07900000,2.11200000,2.00800000,2.03300000,1693565.58800000,3490386.75860300,13872
1603843200000,2020-10-28 00:00:00,QTUM/USDT,2.19500000,2.21800000,2.05100000,2.07900000,2835286.37400000,5996633.73742700,21421
1603756800000,2020-10-27 00:00:00,QTUM/USDT,2.17300000,2.21500000,2.16000000,2.19400000,2439188.21700000,5339867.12256200,18772
1603670400000,2020-10-26 00:00:00,QTUM/USDT,2.22700000,2.26600000,2.13500000,2.17400000,2575919.31300000,5669625.82108300,20918
1603584000000,2020-10-25 00:00:00,QTUM/USDT,2.31100000,2.31200000,2.20700000,2.22900000,1481535.25800000,3349840.12255000,12430
1603497600000,2020-10-24 00:00:00,QTUM/USDT,2.29100000,2.33300000,2.27400000,2.31200000,1277077.57500000,2946390.90193700,10333
1603411200000,2020-10-23 00:00:00,QTUM/USDT,2.34000000,2.34100000,2.23100000,2.29100000,2157846.48000000,4960556.88177600,16862
1603324800000,2020-10-22 00:00:00,QTUM/USDT,2.28300000,2.39400000,2.28300000,2.34100000,2682540.79700000,6272906.14871600,21154
1603238400000,2020-10-21 00:00:00,QTUM/USDT,2.14500000,2.31600000,2.13700000,2.28300000,2967079.59300000,6632748.46790100,24156
1603152000000,2020-10-20 00:00:00,QTUM/USDT,2.21200000,2.21500000,2.12600000,2.14600000,1775359.44100000,3837141.45012500,14534
1603065600000,2020-10-19 00:00:00,QTUM/USDT,2.21500000,2.23200000,2.16300000,2.21200000,1796086.18400000,3952940.20977400,13520
1602979200000,2020-10-18 00:00:00,QTUM/USDT,2.17900000,2.22400000,2.17600000,2.21600000,1153744.61800000,2541428.02800900,9296
1602892800000,2020-10-17 00:00:00,QTUM/USDT,2.16700000,2.21200000,2.14100000,2.17900000,1331041.68100000,2891163.64456300,10376
