Date,Price,Open,High,Low,Vol.,Change %
Jun 01 2020,1763.70,1763.10,1774.50,1751.60,3.29K,-0.11%
May 29 2020,1765.70,1748.70,1767.10,1740.70,6.42K,1.32%
May 28 2020,1742.70,1737.50,1757.30,1734.30,4.17K,0.13%
May 27 2020,1740.50,1738.80,1743.30,1714.80,6.08K,0.00%
May 26 2020,1740.50,1761.00,1768.00,1734.80,6.03K,0.78%
May 25 2020,1727.00,1730.55,1731.35,1719.25,-,-0.21%
May 24 2020,1730.65,1735.45,1735.90,1729.80,-,-1.98%
May 22 2020,1765.60,1755.90,1768.30,1750.60,8.36K,0.87%
May 21 2020,1750.40,1778.80,1779.80,1743.80,5.87K,-1.76%
May 20 2020,1781.70,1777.70,1785.10,1773.00,4.20K,0.47%
May 19 2020,1773.40,1763.00,1779.60,1754.20,4.33K,0.73%
May 18 2020,1760.60,1780.00,1800.00,1756.20,4.07K,-1.02%
May 15 2020,1778.70,1760.10,1783.00,1758.00,5.54K,0.95%
May 14 2020,1762.00,1743.30,1765.10,1735.00,4.05K,1.42%
May 13 2020,1737.30,1726.60,1744.50,1721.00,6.18K,0.54%
May 12 2020,1728.00,1721.10,1737.20,1717.00,5.81K,0.41%
May 11 2020,1720.90,1727.70,1734.20,1714.20,6.37K,-0.82%
May 08 2020,1735.20,1743.50,1752.70,1724.50,8.13K,-0.49%
May 07 2020,1743.70,1706.40,1750.50,1704.50,8.26K,2.31%
May 06 2020,1704.40,1730.50,1733.40,1698.80,5.81K,-1.37%
May 05 2020,1728.00,1719.00,1733.70,1710.50,8.37K,0.12%
May 04 2020,1725.90,1722.90,1735.50,1711.80,3.35K,0.81%
May 01 2020,1712.00,1705.70,1723.10,1688.00,2.33K,0.42%
Apr 30 2020,1704.90,1737.00,1745.00,1697.70,3.80K,-1.02%
Apr 29 2020,1722.40,1735.00,1741.80,1718.00,1.90K,-0.51%
Apr 28 2020,1731.20,1731.80,1740.00,1712.70,3.06K,-0.01%
Apr 27 2020,1731.40,1746.70,1753.00,1726.80,2.90K,-0.59%
Apr 24 2020,1741.70,1754.40,1765.50,1733.00,2.26K,-0.53%
Apr 23 2020,1751.00,1741.40,1769.20,1736.00,3.79K,0.43%
Apr 22 2020,1743.50,1707.60,1747.10,1700.00,2.50K,3.04%
Apr 21 2020,1692.10,1717.60,1720.80,1670.30,2.73K,-1.35%
Apr 20 2020,1715.30,1697.20,1722.00,1689.20,2.52K,0.74%
Apr 17 2020,1702.70,1740.70,1741.30,1695.50,4.41K,-1.94%
Apr 16 2020,1736.30,1744.00,1771.20,1727.60,3.83K,-0.48%
Apr 15 2020,1744.70,1760.70,1762.70,1736.40,3.86K,-1.50%
Apr 14 2020,1771.20,1768.00,1789.50,1750.00,7.09K,0.48%
Apr 13 2020,1762.70,1741.60,1773.50,1725.00,4.15K,1.27%
Apr 10 2020,1740.60,1740.60,1740.60,1740.60,-,-0.74%
Apr 09 2020,1753.60,1679.20,1754.30,1679.20,9.30K,4.13%
Apr 08 2020,1684.10,1680.10,1693.90,1673.90,3.33K,0.02%
Apr 07 2020,1683.70,1713.10,1740.80,1674.30,7.05K,-0.56%
Apr 06 2020,1693.10,1649.50,1713.50,1640.00,4.04K,2.83%
Apr 03 2020,1646.50,1639.00,1651.50,1625.30,3.02K,0.46%
Apr 02 2020,1638.90,1607.00,1645.20,1596.70,3.42K,2.91%
Apr 01 2020,1592.50,1580.00,1611.00,1577.70,3.25K,-0.32%
Mar 31 2020,1597.60,1640.10,1642.20,1590.80,3.35K,-2.83%
Mar 30 2020,1644.10,1665.70,1672.50,1634.60,2.89K,-0.66%
Mar 27 2020,1655.00,1653.60,1659.30,1631.90,6.37K,-0.42%
Mar 26 2020,1662.00,1639.60,1678.00,1615.00,7.61K,1.76%
Mar 25 2020,1633.30,1688.00,1695.00,1607.50,5.34K,-1.79%
Mar 24 2020,1663.00,1578.00,1691.40,1578.00,9.56K,5.16%
Mar 23 2020,1581.40,1520.00,1583.70,1498.90,3.14K,5.77%
Mar 20 2020,1495.10,1468.00,1530.00,1468.00,4.16K,0.38%
Mar 19 2020,1489.40,1496.60,1508.00,1476.90,2.21K,0.15%
Mar 18 2020,1487.10,1547.00,1551.10,1485.20,2.49K,-3.06%
Mar 17 2020,1534.10,1504.50,1561.50,1476.30,3.41K,2.70%
Mar 16 2020,1493.80,1573.00,1578.60,1458.80,2.74K,-2.04%
Mar 13 2020,1524.90,1592.60,1604.20,1514.30,2.51K,-4.62%
Mar 12 2020,1598.80,1648.60,1655.20,1568.70,3.05K,-3.15%
Mar 11 2020,1650.80,1657.90,1677.60,1641.70,4.20K,-1.09%
Mar 10 2020,1669.00,1675.00,1679.30,1651.50,3.67K,-0.90%
Mar 09 2020,1684.10,1700.00,1712.10,1668.10,3.54K,0.07%
Mar 06 2020,1683.00,1683.60,1703.60,1657.70,4.50K,0.15%
Mar 05 2020,1680.40,1653.40,1687.20,1653.00,2.37K,1.44%
Mar 04 2020,1656.50,1660.10,1661.10,1647.30,3.92K,-0.14%
Mar 03 2020,1658.80,1606.50,1663.80,1606.50,3.14K,3.05%
Mar 02 2020,1609.70,1609.10,1626.00,1593.90,2.37K,1.65%
Feb 28 2020,1583.60,1667.10,1667.10,1582.00,6.31K,-4.68%
Feb 27 2020,1661.40,1668.00,1680.30,1656.00,3.96K,-0.09%
Feb 26 2020,1662.90,1656.40,1676.70,1646.70,3.59K,-0.44%
